id,title,budget,revenue,genres,original_language,release_date,popularity,vote_average,vote_count,runtime
634649,"Spider-Man: No Way Home",200000000,1804372547,Action;Adventure;Science Fiction,en,2021-12-15,7902.493,8.4,7837,148
568124,"Encanto",50000000,228000000,Animation;Comedy;Family;Fantasy,en,2021-11-24,3218.518,7.8,4361,102
524434,"Eternals",200000000,402027582,Action;Adventure;Fantasy;Science Fiction,en,2021-11-03,2594.929,7.2,4320,156
476669,"The King's Man",100000000,120000000,Action;Adventure;Thriller;War,en,2021-12-22,4961.342,7.1,966,131
425909,"Ghostbusters: Afterlife",75000000,191000000,Fantasy;Comedy;Adventure,en,2021-11-11,1572.988,7.7,1995,124
438695,"Sing 2",85000000,291000000,Comedy;Animation;Family;Music,en,2021-12-01,1597.43,8.2,1869,110
512195,"Red Notice",160000000,178143,Action;Comedy;Crime;Thriller,en,2021-11-04,1793.425,6.8,3004,117
624860,"The Matrix Resurrections",190000000,148000000,Science Fiction;Action;Adventure,en,2021-12-16,1410.537,6.8,2912,148
580489,"Venom: Let There Be Carnage",110000000,500000000,Science Fiction;Action;Adventure,en,2021-09-30,1353.033,7.1,6308,97
460458,"Resident Evil: Welcome to Raccoon City",40000000,31000000,Horror;Action;Science Fiction,en,2021-11-24,1353.504,6.2,1202,107
635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",15800000,503063688,Animation;Action;Adventure;Fantasy,ja,2020-10-16,1213.452,8.4,2146,117
566525,"Shang-Chi and the Legend of the Ten Rings",150000000,430238384,Action;Adventure;Fantasy,en,2021-09-01,1044.315,7.8,5628,132
585245,"Clifford the Big Red Dog",64000000,67000000,Family;Adventure;Comedy;Fantasy,en,2021-11-10,703.707,7.3,1027,97
644495,"House of Gucci",75000000,151758425,Drama;Crime;Thriller,en,2021-11-24,614.887,6.7,1025,158
597208,"Nightmare Alley",60000000,9353244,Crime;Drama;Thriller,en,2021-12-02,1887.29,7.2,697,150
589761,"Chernobyl: Abyss",9100000,5370393,Drama;History;Adventure,ru,2020-10-15,640.339,6.2,297,136
460465,"Mortal Kombat",20000000,83601013,Action;Fantasy;Adventure,en,2021-04-07,560.254,7.2,4389,110
459151,"The Boss Baby: Family Business",82000000,128000000,Animation;Comedy;Adventure;Family,en,2021-07-01,553.873,7.6,1751,107
550988,"Free Guy",110000000,331096766,Comedy;Action;Adventure;Science Fiction,en,2021-08-11,544.024,7.7,4939,115
438631,"Dune",165000000,399000000,Science Fiction;Adventure,en,2021-09-15,513.078,7.9,5970,155
370172,"No Time to Die",242000000,771000000,Adventure;Action;Thriller,en,2021-09-29,475.967,7.5,3454,163
617653,"The Last Duel",100000000,27000000,Action;Drama;History,en,2021-10-13,418.41,7.6,1721,153
522402,"Finch",2500000,500000000,Science Fiction;Drama;Adventure,en,2021-11-04,432.789,8.1,1977,115
385128,"F9",200000000,721077945,Action;Crime;Thriller;Adventure,en,2021-05-19,430.776,7.3,4982,143
508943,"Luca",200000000,49010641,Animation;Comedy;Family;Fantasy,en,2021-06-17,465.211,8.0,5772,95
436969,"The Suicide Squad",185000000,167417425,Action;Adventure;Fantasy,en,2021-07-28,477.616,7.7,5551,132
589754,"The Last Warrior: Root of Evil",8400000,27658331,Fantasy;Adventure;Comedy,ru,2021-01-01,434.932,7.1,83,120
451048,"Jungle Cruise",200000000,217000000,Action;Adventure;Comedy;Fantasy,en,2021-07-28,401.031,7.6,3939,127
675445,"PAW Patrol: The Movie",26000000,135000000,Animation;Family;Adventure;Comedy,en,2021-08-09,397.489,7.5,831,86
791373,"Zack Snyder's Justice League",70000000,657000000,Action;Adventure;Fantasy;Science Fiction,en,2021-03-18,375.635,8.3,7296,242
744275,"After We Fell",14000000,19000000,Romance;Drama,en,2021-09-01,479.513,7.2,1489,99
497698,"Black Widow",200000000,378328978,Action;Adventure;Science Fiction,en,2021-07-07,374.274,7.5,6978,134
337404,"Cruella",200000000,233274812,Comedy;Crime,en,2021-05-26,361.397,8.2,6559,134
637649,"Wrath of Man",40000000,103966489,Action;Crime;Thriller,en,2021-04-22,332.191,7.8,3281,119
299536,"Avengers: Infinity War",300000000,2046239637,Adventure;Action;Science Fiction,en,2018-04-25,343.227,8.3,23914,149
592508,"Sooryavanshi",13000000,37700000,Action;Drama;Crime,hi,2021-11-05,320.937,5.9,84,145
399566,"Godzilla vs. Kong",200000000,467863133,Action;Fantasy;Science Fiction,en,2021-03-24,330.786,7.8,7600,113
423108,"The Conjuring: The Devil Made Me Do It",39000000,201000000,Horror;Mystery;Thriller,en,2021-05-25,292.03,7.7,4169,111
568620,"Snake Eyes: G.I. Joe Origins",88000000,36964325,Action;Adventure,en,2021-07-22,303.406,6.8,998,121
379686,"Space Jam: A New Legacy",161900000,148810604,Family;Animation;Comedy;Science Fiction,en,2021-07-08,294.856,7.1,2873,115
646380,"Don't Look Up",75000000,784681,Comedy;Drama;Science Fiction,en,2021-12-07,252.921,7.3,4516,143
527774,"Raya and the Last Dragon",100000000,130000000,Family;Fantasy;Animation;Action;Adventure,en,2021-03-03,280.184,8.0,4965,107
525660,"Dynasty Warriors",38504400,3310000,Action;Adventure;Fantasy,cn,2021-04-27,279.042,6.7,79,118
610253,"Halloween Kills",20000000,127000000,Horror;Thriller,en,2021-10-14,244.112,6.8,1537,105
529203,"The Croods: A New Age",65000000,168285000,Animation;Family;Adventure;Fantasy;Comedy,en,2020-11-25,272.227,7.6,2848,95
429617,"Spider-Man: Far From Home",160000000,1131927996,Action;Adventure;Science Fiction,en,2019-06-28,264.297,7.5,12034,129
632357,"The Unholy",10000000,30763855,Horror,en,2021-03-31,240.627,6.8,1528,99
631843,"Old",18000000,90112510,Thriller;Mystery;Horror,en,2021-07-21,209.795,6.6,2201,108
458576,"Monster Hunter",60000000,25814306,Action;Fantasy;Adventure,en,2020-12-03,260.12,6.8,2416,104
351286,"Jurassic World: Fallen Kingdom",170000000,1303459585,Action;Adventure;Science Fiction,en,2018-06-06,178.382,6.6,9577,129
602223,"The Forever Purge",18000000,76994245,Horror;Action;Thriller,en,2021-06-30,200.633,7.3,1603,103
464052,"Wonder Woman 1984",200000000,165160005,Action;Adventure;Fantasy,en,2020-12-16,234.09,6.6,6531,151
299534,"Avengers: Endgame",356000000,2797800564,Adventure;Science Fiction;Action,en,2019-04-24,242.572,8.3,20354,181
482373,"Don't Breathe 2",10000000,45000000,Thriller;Horror,en,2021-08-12,218.627,7.5,1446,98
520763,"A Quiet Place Part II",61000000,297372261,Science Fiction;Thriller;Horror,en,2021-05-21,206.857,7.6,3900,97
614917,"King Richard",50000000,30000000,Drama;History,en,2021-11-18,165.356,8.1,690,145
587807,"Tom & Jerry",50000000,132000000,Comedy;Family;Animation,en,2021-02-10,215.194,7.0,1921,101
505262,"My Hero Academia: Two Heroes",12000000,31478826,Animation;Action;Adventure;Fantasy,ja,2018-08-03,218.059,8.0,730,96
576845,"Last Night in Soho",43000000,19000000,Thriller;Horror;Mystery,en,2021-10-21,196.763,7.5,1259,117
324857,"Spider-Man: Into the Spider-Verse",90000000,375540831,Action;Adventure;Animation;Science Fiction,en,2018-12-06,220.125,8.4,10827,117
574060,"Gunpowder Milkshake",30000000,344931,Action;Crime;Thriller,en,2021-07-14,207.904,6.3,510,114
508442,"Soul",150000000,136384442,Animation;Comedy;Fantasy;Family,en,2020-12-25,182.737,8.2,7650,101
637693,"Spirit Untamed",30000000,17635215,Animation;Adventure;Family;Western,en,2021-05-20,171.848,7.6,340,88
